A  AX
SPECTATOR-TYPE  S P EH K T EY T AXR T AY P
SPECULATED  S P EH K Y UH L EY T IX D
SPECULATIONS  S P EH K Y UH L EY SH IX N Z
SPEECH  S P IY CH
SPEND  S P EH N D
SPENDING  S P EH N D IX NG
SPENT  S P EH N T
SPHERE  S F IH R
SPHERICAL  S F IH R IH K EL
SPIDER  S P AY D AXR
SPIKE  S P AY K
SPILLED  S P IH L D
SPINACH  S P IH N IH CH
SPIRIT  S P IH R IX T
SPIRITED  S P IH R IX T IX D
SPIRITS  S P IH R IX T S
SPIRITUAL  S P IH R IH CH UW EL
SPIT  S P IH T
SPLASHED  S P L AE SH T
SPLENDIDLY  S P L EH N D IX D L IY
SPLENDOR  S P L EH N D AXR
SPLINTER  S P L IH N T AXR
SPLURGE  S P L ER JH
SPLURGED  S P L ER JH D
SPOILAGE  S P OY L IX JH
SPOILED  S P OY L D
SPOKE  S P OW K
SPOKEN  S P OW K IX N
SPOKES  S P OW K S
SPONGES  S P AH N JH IX Z
SPONSORS  S P AA N S AXR Z
SPORT  S P AO R T
SPORTS  S P AO R T S
SPORTSMEN  S P AO R T S M AX N
SPOT  S P AA T
SPOTTED  S P AA T IX D
SPOUTED  S P AW T IX D
SPRAINED  S P R EY N D
SPRANG  S P R AE NG
SPRAY  S P R EY
SPREAD  S P R EH D
SPREADER  S P R EH D AXR
SPRING  S P R IH NG
SPRINKLING  S P R IH NG K EL IX NG
SPROUTED  S P R AW T IX D
SPROUTING  S P R AW T IX NG
SPUN  S P AH N
SPURIOUS  S P Y UH R IY AX S
SPURS  S P ER Z
SPUTNIKS  S P AH T N IH K S
SQUARE  S K W AE R
SQUARED  S K W AE R D
SQUASHY  S K W AA SH IY
SQUEAKED  S K W IY K T
SQUEAMISHNESS  S K W IY M IH SH N IX S
SQUEEZED  S K W IY Z D
SQUELCHED  S K W EH L CH T
STAB  S T AE B
STABLE  S T EY B EL
STACKED  S T AE K T
STAFF  S T AE F
STAG  S T AE G
STAGE  S T EY JH
STAGGERED  S T AE G AXR D
STAKE  S T EY K
STAKE-OUT  S T EY K AW T
STAMPEDE  S T AE M P IY D
STAND  S T AE N D
STANDARDIZED  S T AE N D AXR D AY Z D
STANDARDS  S T AE N D AXR D Z
STANDBY  S T AE N D B AY
STAR  S T AA R
STARCHY  S T AA R CH IY
STARED  S T AE R D
START  S T AA R T
STARTED  S T AA R T IX D
STARTLING  S T AA R T EL IX NG
STATE  S T EY T
STATEMENT  S T EY T M AX N T
STATES  S T EY T S
STATUE  S T AE CH UW
STATUESQUE  S T AE CH UW EH S K
STATUS  S T AE T IX S
STATUTORY  S T AE CH AX T AO R IY
STAY  S T EY
STAYED  S T EY D
STEAM  S T IY M
STEAMING  S T IY M IX NG
STEEL  S T IY L
STEEP  S T IY P
STEMS  S T EH M Z
STEP  S T EH P
STEPH  S T EH F
STEPLADDERS  S T EH P L AE D AXR Z
STEPMOTHER  S T EH P M AH DH AXR
STEPS  S T EH P S
STERILIZATION  S T EH R EL AX Z EY SH IX N
STEVE  S T IY V
STEW  S T UW
STICK  S T IH K
STIFFLY  S T IH F L IY
STILL  S T IH L
STIMULATES  S T IH M Y UW L EY T S
STIMULATING  S T IH M Y UW L EY T IX NG
STINGING  S T IH NG IX NG
STINGS  S T IH NG Z
STIRRED  S T ER D
STIRRIN  S T ER EN
STIRRUP  S T ER AH P
STIRRUP-GUARD  S T ER AH P G AA R D
STOCK  S T AA K
STOCKINGS  S T AA K IX NG Z
STOCKROOM  S T AA K R UW M
STOICISM  S T OW AX S IH Z EM
STOLE  S T OW L
STOMACH  S T AH M AX K
STOMPED  S T AA M P T
STONE  S T OW N
STONEWARE  S T OW N W AE R
STOOD  S T UH D
STOOL  S T UW L
STOOP  S T UW P
STOP  S T AA P
STOPPED  S T AA P T
STOPPING  S T AA P IX NG
STOPWATCH  S T AA P W AA CH
STORE  S T AO R
STORED  S T AO R D
STORM  S T AO R M
STORMS  S T AO R M Z
STORY  S T AO R IY
STORYLINE  S T AO R IY L AY N
STORYLINES  S T AO R IY L AY N Z
STRAIGHT  S T R EY T
STRAIGHTENED  S T R EY T EN D
STRAIGHTFORWARD  S T R EY T F AO R W AXR D
STRAIN  S T R EY N
STRAINED  S T R EY N D
STRANDED  S T R AE N D IX D
STRANGER  S T R EY N JH AXR
STRATEGIC  S T R AX T IY JH IH K
STRATEGY  S T R AE T IX JH IY
STRAW  S T R AO
STRAWBERRIES  S T R AO B EH R IY Z
STRAWBERRY  S T R AO B EH R IY
STRAY  S T R EY
STREAM  S T R IY M
STREAMED  S T R IY M D
STREAMLINED  S T R IY M L AY N D
STREAMS  S T R IY M Z
STREET  S T R IY T
STREETS  S T R IY T S
STRENGTH  S T R EH NG TH
STRENGTHEN  S T R EH NG TH IX N
STRESS  S T R EH S
STRETCHED  S T R EH CH T
STRIKE  S T R AY K
STRIKINGLY  S T R AY K IX NG L IY
STRIP  S T R IH P
STRIPED  S T R AY P T
STRIPPED  S T R IH P T
STRIPPERS  S T R IH P AXR Z
STROLLED  S T R OW L D
STRONG  S T R AO NG
STRONGHOLD  S T R AO NG HH OW L D
STRONGLY  S T R AO NG L IY
STRUCK  S T R AH K
STRUCTURAL  S T R AH K CH AXR EL
STRUCTURE  S T R AH K CH AXR
STRUCTURES  S T R AH K CH AXR Z
STRUGGLE  S T R AH G EL
STRUGGLING  S T R AH G EL IX NG
STUCK  S T AH K
STUDENTS  S T UW D EN T S
STUDENTS'  S T UW D EN T S
STUDIO  S T UW D IY OW
STUDY  S T AH D IY
STUMPING  S T AH M P IX NG
STUNG  S T AH NG
STUPID  S T UW P IX D
STYLE  S T AY L
STYLISH  S T AY L IH SH
SUBDUED  S AH B D UW D
SUBGROUPS  S AH B G R UW P S
SUBJECT  S AH B JH IH K T
SUBJECTIVE  S AH B JH EH K T IH V
SUBMARINE  S AH B M AXR IY N
SUBMIT  S AX B M IH T
SUBSTANCES  S AH B S T IX N S IX Z
SUBSTANTIAL  S AH B S T AE N SH EL
SUBSTANTIALLY  S AH B S T AE N SH AX L IY
SUBSYSTEMS  S AH B S IH S T AX M Z
SUBTITLES  S AH B T AY T EL Z
SUBTRACTION  S AH B T R AE K SH IX N
SUBURBAN  S AH B ER B IX N
SUBURBANITES  S AH B ER B IX N AY T S
SUBURBS  S AH B ER B Z
SUBWAY  S AH B W EY
SUCCEEDING  S AX K S IY D IX NG
SUCCESS  S UH K S EH S
SUCCESSFUL  S UH K S EH S F UH L
SUCCESSFULLY  S UH K S EH S F UH L IY
SUCCESSORS  S UH K S EH S AXR Z
SUCH  S AH CH
SUCKING  S AH K IX NG
SUDDEN  S AH D EN
SUDDENLY  S AH D EN L IY
SUEY  S UW IY
SUFFER  S AH F AXR
SUFFERED  S AH F AXR D
SUFFERS  S AH F AXR Z
SUFFICIENCY  S AX F IH SH IX N S IY
SUFFICIENT  S AX F IH SH IX N T
SUFFICIENTLY  S AX F IH SH IX N T L IY
SUGAR  SH UH G AXR
SUGGESTION  S AX JH EH S CH EN
SUICIDE  S UW AX S AY D
SUIT  S UW T
SUITABLE  S UW T AX B EL
SUITABLY  S UW T AX B L IY
SUITE  S W IY T
SULLEN  S AH L AX N
SULPHUR  S AH L F AXR
SUM  S AH M
SUMMER  S AH M AXR
SUMMERTIME  S AH M AXR T AY M
SUN  S AH N
SUNBURN  S AH N B ER N
SUNBURNED  S AH N B ER N D
SUNDAE  S AH N D EY
SUNDOWN  S AH N D AW N
SUNG  S AH NG
SUNLIGHT  S AH N L AY T
SUNSHINE  S AH N SH AY N
SUPERB  S UH P ER B
SUPERBLY  S UH P ER B L IY
SUPERIOR  S AX P IH R IY AXR
SUPERIORS  S AX P IH R IY AXR Z
SUPERVISION  S UW P AXR V IH ZH IX N
SUPERVISORY  S UW P AXR V AY Z AXR IY
SUPPER  S AH P AXR
SUPPERS  S AH P AXR Z
SUPPLEMENTS  S AH P L AX M AX N T S
SUPPLIES  S AX P L AY Z
SUPPORTERS  S AX P AO R T AXR Z
SUPPORTS  S AX P AO R T S
SUPPOSE  S AX P OW Z
SUPREME  S AX P R IY M
SURE  SH UH R
SURE-SURE  SH UH R SH UH R
SURELY  SH UH R L IY
SURFACE  S ER F AX S
SURFACENESS  S ER F AX S N IX S
SURFACES  S ER F AX S IX Z
SURFEIT  S ER F AX T
SURGEON  S ER JH IX N
SURPLUS  S ER P L AH S
SURPRISE  S AXR P R AY Z
SURPRISING  S AXR P R AY Z IX NG
SURPRISINGLY  S AXR P R AY Z IX NG L IY
SURRENDER  S AXR EH N D AXR
SURROUNDED  S AXR AW N D IX D
SURVEY  S ER V EY
SURVEYING  S AXR V EY IX NG
SURVIVAL  S AXR V AY V EL
SURVIVE  S AXR V AY V
SUSCEPTIBLE  S IX S EH P T AX B EL
SUSPECT  S IX S P EH K T
SUSPICIOUSLY  S IX S P IH SH AX S L IY
SWAM  S W AE M
SWARMED  S W AO R M D
SWARTHY  S W AO R DH IY
SWATCHES  S W AA CH IX Z
SWEAT  S W EH T
SWEATER  S W EH T AXR
SWEATERS  S W EH T AXR Z
SWEDISH  S W IY D IH SH
SWEET  S W IY T
SWEET-SOUR  S W IY T S AW AXR
SWEETHEART  S W IY T HH AA R T
SWEETLY  S W IY T L IY
SWELLS  S W EH L Z
SWIFTLY  S W IH F T L IY
SWIG  S W IH G
SWIMMING  S W IH M IX NG
SWING  S W IH NG
SWIRLED  S W ER L D
SWISS  S W IH S
SWITCHED  S W IH CH T
SWITCHES  S W IH CH IX Z
SWIVEL  S W IH V EL
SWOLLEN  S W OW L IX N
SWUNG  S W AH NG
SYMBOLIC  S IH M B AA L IH K
SYMBOLISM  S IH M B AX L IH Z EM
SYMBOLIZE  S IH M B AX L AY Z
SYMBOLS  S IH M B EL Z
SYMMETRICAL  S AX M EH T R IH K EL
SYMPATHETICALLY  S IH M P AX TH EH T IH K AX L IY
SYMPOSIUM  S IH M P OW Z IY AX M
SYMPTOM  S IH M P T AX M
SYNAGOGUE  S IH N IH G AA G
SYNONYMOUS  S IX N AA N AX M AX S
SYRUP  S IH R AX P
SYSTEM  S IH S T AX M
SYSTEMS  S IH S T AX M Z
TABLE  T EY B EL
TABLECLOTHS  T EY B EL K L AO TH S
TABLES  T EY B EL Z
TACKLE  T AE K EL
TAD  T AE D
TADPOLE  T AE D P OW L
TAG  T AE G
TAIL  T EY L
TAILORED  T EY L AXR D
TAILS  T EY L Z
TAKE  T EY K
TAKEN  T EY K IX N
TAKES  T EY K S
TAKIN'  T EY K EN
TAKING  T EY K IX NG
TALE  T EY L
TALENT  T AE L IX N T
TALK  T AO K
TALKED  T AO K T
TALKING  T AO K IX NG
TALL  T AO L
TALLYHO  T AE L IY HH OW
TAME  T EY M
TAN  T AE N
TANK  T AE NG K
TANTALIZING  T AE N T AX L AY Z IX NG
TAPE  T EY P
TAPES  T EY P S
TAPESTRY  T AE P AX S T R IY
TARGET  T AA R G IX T
TARGETS  T AA R G IX T S
TASK  T AE S K
TASKS  T AE S K S
TASTEFUL  T EY S T F UH L
TASTES  T EY S T S
TAUT  T AO T
TAX  T AE K S
TAX-AIDED  T AE K S EY D IX D
TAXATION  T AE K S EY SH IX N
TAXI  T AE K S IY
TAXICAB  T AE K S IY K AE B
TAXPAYER  T AE K S P EY AXR
TEA  T IY
TEACH  T IY CH
TEACHER  T IY CH AXR
TEACHING  T IY CH IX NG
TEAM  T IY M
TEARS  T IH R Z
TEASED  T IY Z D
TEASPOONS  T IY S P UW N Z
TECHNICAL  T EH K N IH K EL
TECHNIQUE  T EH K N IY K
TECHNIQUES  T EH K N IY K S
TECHNOLOGICAL  T EH K N AX L AA JH IH K EL
TECHNOLOGY  T EH K N AA L AX JH IY
TEEMS  T IY M Z
TEETH  T IY TH
TELEPHONE  T EH L AX F OW N
TELEPHONING  T EH L AX F OW N IX NG
TELL  T EH L
TELLERS  T EH L AXR Z
TELLS  T EH L Z
TEMPER  T EH M P AXR
TEMPERATE  T EH M P AXR IX T
TEMPO  T EH M P OW
TEMPTATION  T EH M P T EY SH IX N
TEMPTATIONS  T EH M P T EY SH IX N Z
TEMPTED  T EH M P T IX D
TEN  T EH N
TENANT  T EH N IX N T
TENANT'S  T EH N IX N T S
TEND  T EH N D
TENDED  T EH N D IX D
TENDERNESS  T EH N D AXR N IX S
TENDS  T EH N D Z
TENSELY  T EH N S L IY
TENSION  T EH N SH IX N
TENTACLES  T EH N T IH K EL Z
TENURE  T EH N Y AXR
TERM  T ER M
TERMS  T ER M Z
TERRIBLE  T EH R AX B EL
TERRIER  T EH R IY AXR
TERRIFIC  T AXR IH F IH K
TERRIFYING  T EH R AX F AY IX NG
TEST  T EH S T
TEST-RUN  T EH S T R AH N
TESTICLE  T EH S T IH K EL
TESTIMONY  T EH S T IX M OW N IY
TESTS  T EH S T S
TETANUS  T EH T N IX S
TETHERED  T EH DH AXR D
TEXT  T EH K S T
TEXT-FORM  T EH K S T F AO R M
TEXTS  T EH K S T S
TEXTURE  T EH K S CH AXR
THAN  DH AE N
THANK  TH AE NG K
THANKS  TH AE NG K S
THANKSGIVING  TH AE NG K S G IH V IX NG
THAT  DH AE T
THAT'LL  DH AE T EL
THAT'S  DH AE T S
THAW  TH AO
THE  DH AX
THEATERS  TH IY T AXR Z
THEIR  DH AE R
THEIRS  DH AE R Z
THEM  DH EH M
THEME  TH IY M
THEMES  TH IY M Z
THEMSELVES  DH EH M S EH L V Z
THEN  DH EH N
THEOCRACY  TH IY AA K R IX S IY
THEORY  TH IH R IY
THERAPIES  TH EH R AX P IY Z
THERAPY  TH EH R AX P IY
THERE  DH AE R
THERE'S  DH AE R Z
THEREAFTER  DH AE R AE F T AXR
THEREBY  DH AE R B AY
THEREUPON  DH AE R AH P AO N
THERMAL  TH ER M EL
THERMOMETER  TH AXR M AA M AX T AXR
THERMOMETERS  TH AXR M AA M AX T AXR Z
THERMONUCLEAR  TH ER M OW N UW K L IY AXR
THESE  DH IY Z
THEY  DH EY
THEY'D  DH EY D
THEY'LL  DH EY L
THEY'RE  DH AE R
THEY'VE  DH EY V
THICK  TH IH K
THIEF  TH IY F
THIGHS  TH AY Z
THIMBLE  TH IH M B EL
THIN  TH IH N
THING  TH IH NG
THINGS  TH IH NG Z
THINK  TH IH NG K
THINKER  TH IH NG K AXR
THINKIN  TH IH NG K IX N
THINKING  TH IH NG K IX NG
THINKS  TH IH NG K S
THINNER  TH IH N AXR
THIRD  TH ER D
THIRTY  TH ER T IY
THIRTY-FIVE  TH ER T IY F AY V
THIS  DH IH S
THOMAS  T AA M IX S
THOROUGHBRED  TH ER OW B R EH D
THOROUGHFARES  TH ER OW F AE R Z
THOROUGHLY  TH ER OW L IY
THOSE  DH OW Z
THOU  DH AW
THOUGH  DH OW
THOUGHT  TH AO T
THOUGHTLESS  TH AO T L IX S
THOUSAND  TH AW Z EN D
THREAD  TH R EH D
THREATENING  TH R EH T EN IX NG
THREE  TH R IY
THREE-INCH  TH R IY IH N CH
THREW  TH R UW
THRILL  TH R IH L
THRIVED  TH R AY V D
THROAT  TH R OW T
THROMBOSIS  TH R AA M B OW S IX S
THROUGH  TH R UW
THROUGHOUT  TH R UW AW T
THROW  TH R OW
THROWER  TH R OW AXR
THRUSTING  TH R AH S T IX NG
THRUWAY  TH R UW W EY
THUMP  TH AH M P
THURSDAY'S  TH ER Z D EY Z
THURSDAYS  TH ER Z D EY Z
THUS  DH AH S
THWARTED  TH W AO R T IX D
THYROID  TH AY R OY D
TIDBITS  T IH D B IH T S
TIDES  T AY D Z
TIE  T AY
TIED  T AY D
TIGHT  T AY T
TILES  T AY L Z
TILTED  T IH L T IX D
TIM  T IH M
TIMBER  T IH M B AXR
TIME  T AY M
TIMERS  T AY M AXR Z
TIMES  T AY M Z
TIMING  T AY M IX NG
TIN  T IH N
TINDER  T IH N D AXR
TINKLED  T IH NG K EL D
TINSEL  T IH N S EL
TINY  T AY N IY
TIPS  T IH P S
TIRED  T AY AXR D
TISSUE  T IH SH UW
TITLE  T AY T EL
TITTER  T IH T AXR
TO  T UW
TOAST  T OW S T
TOBACCO  T AX B AE K OW
TODAY  T IX D EY
TODAY'LL  T IX D EY EL
TODAY'S  T IX D EY Z
TODD  T AA D
TODDLER  T AA D L AXR
TOE  T OW
TOFU  T OW F UW
TOGETHER  T IX G EH DH AXR
TOILET  T OY L IX T
TOLD  T OW L D
TOLERATED  T AA L AXR EY T IX D
TOLL  T OW L
TOM  T AA M
TOMBLIKE  T UW M L AY K
TOMBOY  T AA M B OY
TOMBSTONES  T UW M S T OW N Z
TOMORROW  T AX M AA R OW
TONGUE  T AH NG
TOO  T UW
TOO-NAKED  T UW N EY K IX D
TOOK  T UH K
TOOL  T UW L
TOOTH  T UW TH
TOOTHBRUSH  T UW TH B R AH SH
TOOTHPASTE  T UW TH P EY S T
TOP  T AA P
TOPOGRAPHY  T AX P AA G R AX F IY
TOPPING  T AA P IX NG
TORE  T AO R
TORN  T AO R N
TORNADOS  T AO R N EY D OW Z
TOSS  T AO S
TOSSED  T AO S T
TOTAL  T OW T EL
TOUCH  T AH CH
TOUCHDOWN  T AH CH D AW N
TOUCHED  T AH CH T
TOUCHES  T AH CH IX Z
TOUGH  T AH F
TOUR  T UH R
TOWARD  T AO R D
TOWARDS  T AO R D Z
TOWEL  T AW EL
TOWN  T AW N
TOXIC  T AA K S IH K
TOY  T OY
TRACED  T R EY S T
TRACK  T R AE K
TRACKS  T R AE K S
TRADE  T R EY D
TRADITION  T R AX D IH SH IX N
TRADITIONALISM  T R AX D IH SH IX N EL IH Z EM
TRAFFIC  T R AE F IH K
TRAGEDY  T R AE JH IX D IY
TRAGIC  T R AE JH IH K
TRAIL  T R EY L
TRAIN  T R EY N
TRAINING  T R EY N IX NG
TRAIT  T R EY T
TRAITS  T R EY T S
TRANQUILIZERS  T R AE NG K W IH L AY Z AXR Z
TRANSACT  T R AE N S AE K T
TRANSCENDENCE  T R AE N S EH N D IX N S
TRANSIENCE  T R AE N S IY IX N S
TRANSIT  T R AE N S IX T
TRANSLATED  T R AE N S L EY T IX D
TRANSMIT  T R AE N S M IH T
TRANSPARENT  T R AE N S P AE R AX N T
TRAP  T R AE P
TRAUMA  T R AO M AX
TRAVEL  T R AE V EL
TRAVELER  T R AE V EL AXR
TRAVELERS  T R AE V EL AXR Z
TRAVELLED  T R AE V EL D
TRAY  T R EY
TREATED  T R IY T IX D
TREATMENT  T R IY T M AX N T
TREATS  T R IY T S
TREE  T R IY
TREES  T R IY Z
TREMBLED  T R EH M B EL D
TREMOR  T R EH M AXR
TREMULOUSLY  T R EH M Y UH L AX S L IY
TREND  T R EH N D
TREND-FOLLOWING  T R EH N D F AA L OW IX NG
TRENDS  T R EH N D Z
TRESPASSING  T R EH S P AE S IX NG
TRIAL  T R AY EL
TRIALS  T R AY EL Z
TRIBES  T R AY B Z
TRICK  T R IH K
TRIED  T R AY D
TRIES  T R AY Z
TRIFLE  T R AY F EL
TRIGGERED  T R IH G AXR D
TRIM  T R IH M
TRIP  T R IH P
TRIPS  T R IH P S
TRISH  T R IH SH
TRIUMPHANT  T R AY AH M F AX N T
TRIVIALITY  T R IH V IY AE L IX T IY
TROPICAL  T R AA P IH K EL
TROUBLE  T R AH B EL
TROUSERS  T R AW Z AXR Z
TRUCK  T R AH K
TRUCKS  T R AH K S
TRUE  T R UW
TRUISM  T R UW IH Z EM
TRULY  T R UW L IY
TRUNKS  T R AH NG K S
TRUSTWORTHY  T R AH S T W ER DH IY
TRUTH  T R UW TH
TRY  T R AY
TRYING  T R AY IX NG
TSUNAMI  T S UW N AA M IY
TUB  T AH B
TUBE  T UW B
TUGBOATS  T AH G B OW T S
TUMBLED  T AH M B EL D
TUNAFISH  T UW N AX F IH SH
TUNNELS  T AH N EL Z
TURBULENT  T ER B Y UH L AX N T
TURMOIL  T ER M OY L
TURN  T ER N
TURNED  T ER N D
TURNPIKES  T ER N P AY K S
TURNS  T ER N Z
TURPENTINE  T ER P AX N T AY N
TURQUOISE  T ER K OY Z
TWEEZERS  T W IY Z AXR Z
TWELFTH  T W EH L F TH
TWELVE  T W EH L V
TWENTY  T W EH N T IY
TWENTY-FIVE  T W EH N T IY F AY V
TWENTY-NINE  T W EH N T IY N AY N
TWENTY-THREE  T W EH N T IY TH R IY
TWENTY-TWO  T W EH N T IY T UW
TWICE  T W AY S
TWIGGED  T W IH G D
TWILIGHT  T W AY L AY T
TWINS  T W IH N Z
TWISTED  T W IH S T IX D
TWITCHED  T W IH CH T
TWO  T UW
TWOFOLD  T UW F OW L D
TYCOONS  T AY K UW N Z
TYPE  T AY P
TYPES  T AY P S
TYPHOID  T AY F OY D
TYPHUS  T AY F AX S
TYPICAL  T IH P IH K EL
TYPICALLY  T IH P IH K L IY
TYRANNICAL  T IX R AE N IH K EL
TYRANNY  T IH R AE N IY
UGLY  AH G L IY
ULTRASONIC  AH L T R AX S AA N IH K
UMBRELLA  AH M B R EH L AX
UNABASHED  AH N AX B AE SH T
UNANIMITY  Y UW N IX N IH M AX T IY
UNAPPRECIATED  AH N AX P R IY SH IY EY T IX D
UNAUTHENTIC  AH N AO TH EH N T IH K
UNAVAILABLE  AH N AX V EY L IX B EL
UNBEATABLE  AH N B IY T AX B EL
UNBELIEVABLE  AH N B AX L IY V AX B EL
UNBOUND  AH N B AW N D
UNBROKEN  AH N B R OW K IX N
UNCERTAIN  AH N S ER T EN
UNCOMFORTABLE  AH N AO AH M F AXR T AX B EL
UNCOMMON  AH N K AA M AX N
UNCONVINCING  AH N K AX N V IH N S IX NG
UNCOVER  AH N K AH V AXR
UNDENIABLY  AH N D IY N AY AX B L IY
UNDER  AH N D AXR
UNDER-AGE  AH N D AXR EY JH
UNDERBRUSH  AH N D AXR B R AH SH
UNDERFOOT  AH N D AXR F UH T
UNDERSTAND  AH N D AXR S T AE N D
UNDERSTANDING  AH N D AXR S T AE N D IX NG
UNDERSTANDINGLY  AH N D AXR S T AE N D IX NG L IY
UNDERSTOOD  AH N D AXR S T UH D
UNDERWRITING  AH N D AXR R AY T IX NG
UNDESIRABLE  AH N D IH Z AY R AX B EL
UNDULY  AH N D UW L IY
UNEASILY  AH N IY Z AX L IY
UNEASY  AH N IY Z IY
UNENTHUSIASTIC  AH N IH N TH UW Z IY AE S T IH K
UNEVENLY  AH N IY V AX N L IY
UNEXPECTED  AH N IH K S P EH K T IX D
UNEXPECTEDLY  AH N IH K S P EH K T IX D L IY
UNFENCED  AH N F EH N S T
UNFORTUNATELY  AH N F AO R CH IX N IX T L IY
UNFORTUNATES  AH N F AO R CH IX N IX T S
UNHAPPY  AH N HH AE P IY
UNHURRIED  AH N HH ER IY D
UNI-  Y UW N IY
UNI-DIRECTIONAL  Y UW N IY D AXR EH K SH IX N EL
UNIFORMS  Y UW N IX F AO R M Z
UNINTERRUPTED  AH N IH N T AXR AH P T IX D
UNION  Y UW N Y IX N
UNIONS  Y UW N Y IX N Z
UNIQUENESS  Y UW N IY K N IX S
UNIT  Y UW N IX T
UNITS  Y UW N IX T S
UNITY  Y UW N IX T IY
UNIVERSALITY  Y UW N IX V ER S AE L IX T IY
UNIVERSE  Y UW N AX V ER S
UNIVERSITY  Y UW N IX V ER S IX T IY
UNIVERSITY-WIDE  Y UW N IX V ER S IX T IY W AY D
UNJUSTIFIED  AH N JH AH S T IX F AY D
UNKNOWN  AH N OW N
UNLESS  AX N L EH S
UNLIMITED  AH N L IH M IX T IX D
UNLINED  AH N L AY N D
UNLUCKY  AH N L AH K IY
UNMAGNIFIED  AH N M AE G N IH F AY D
UNNECESSARILY  AH N EH S IX S EH R AX L IY
UNOCCUPIED  AH N AA K Y UW P AY D
UNPLEASANT  AH N P L EH Z EN T
UNQUESTIONABLY  AH N K W EH S CH IX N AX B L IY
UNREALISTIC  AH N R IY L IH S T IH K
UNREASONING  AH N R IY Z EN IX NG
UNSEEN  AH N S IY N
UNSPECIFIED  AH N S P EH S IX F AY D
UNSTUCK  AH N S T AH K
UNSUSPECTING  AH N S AH S P EH K T IX NG
UNTIL  AX N T IH L
UNTIMELY  AH N T AY M L IY
UNUSUAL  AH N Y UW ZH UW EL
UNUSUALLY  AH N Y UW ZH UW AX L IY
UNWAVERINGLY  AH N W EY V AXR IX NG
UP  AH P
UPBEAT  AH P B IY T
UPBRINGING  AH P B R IH NG IX NG
UPDATING  AH P D EY T IX NG
UPGRADE  AH P G R EY D
UPLIFT  AH P L IH F T
UPON  AX P AO N
UPPER  AH P AXR
UPSIDE  AH P S AY D
UPSTAIRS  AH P S T AE R Z
UPWARD  AH P W AXR D
URCHINS  ER CH IX N Z
UREMIA  Y UH R IY M IY AX
URETHANE  Y UH R AX TH EY N
URGE  ER JH
URGED  ER JH D
URGENT  ER JH IX N T
URGES  ER JH IX Z
URGING  ER JH IX NG
US  AH S
USAGES  Y UW S IH JH IX Z
USED  Y UW Z D
USEFUL  Y UW S F EL
USELESS  Y UW S L AX S
USES  Y UW Z IX Z
USE~N  Y UW S
USE~V  Y UW Z
USING  Y UW Z IX NG
USUAL  Y UW ZH UW EL
USUALLY  Y UW ZH UW AX L IY
UTILIZING  Y UW T AX L AY Z IX NG
UTMOST  AH T M OW S T
UTOPIANISM  Y UW T OW P IY EN IH Z EM
UTOPIANS  Y UW T OW P IY EN Z
UTTER  AH T AXR
VACANT  V EY K IX N T
VACATION  V EY K EY SH IX N
VACUUM  V AE K Y UW M
VAGABOND  V AE G AX B AA N D
VAGUELY  V EY G L IY
VAIN  V EY N
VALIANT  V AE L Y AX N T
VALIDATED  V AE L AX D EY T IX D
VALIDITY  V AX L IH D IX T IY
VALLEY  V AE L IY
VALLEYS  V AE L IY Z
VALUABLES  V AE L Y UH B EL Z
VALUE  V AE L Y UW
VALUES  V AE L Y UW Z
VANILLA  V AX N IH L AX
VANISHED  V AE N IH SH T
VANISHING  V AE N IH SH IX NG
VANQUISHED  V AE N K W IH SH T
VAPOR  V EY P AXR
VAPORIZATION  V EY P AXR AX Z EY SH IX N
VARIABLE  V AE R IY AX B EL
VARIETY  V AXR AY AX T IY
VARIOUS  V AE R IY AX S
VASCULAR  V AE S K Y UH L AXR
VASES  V EY S IX Z
VAUDEVILLE  V AO D V EL
VAULT  V AO L T
VAULTING  V AO L T IX NG
VEER  V IH R
VEERED  V IH R D
VEGETABLE  V EH JH T AX B EL
VEGETABLES  V EH JH T AX B EL Z
VEHICLES  V IY HH IH K EL Z
VELOCITIES  V AX L AA S IX T IY Z
VELOCITY  V AX L AA S IX T IY
VENDING  V EH N D IX NG
VENTURES  V EH N CH AXR Z
VERB  V ER B
VERBAL  V ER B EL
VERBALIZE  V ER B AX L AY Z
VERMOUTH  V AXR M UW TH
VERSE  V ER S
VERSES  V ER S IX Z
VERTEBRAL  V ER T AX B R EL
VERTIGO  V ER T IH G OW
VERY  V EH R IY
VETERANS'  V EH T AXR AX N Z
VETERINARIAN  V EH T AXR AX N EH R IY AX N
VICES  V AY S IX Z
VICTIM  V IH K T AX M
VICTIMS  V IH K T AX M Z
VICTOR  V IH K T AXR
VIETNAMESE  V IY EH T N AA M IY Z
VIEW  V Y UW
VIEWPOINT  V Y UW P OY N T
VIEWS  V Y UW Z
VIGILANCE  V IH JH EL AX N S
VIGOROUS  V IH G ER AX S
VILLAGE  V IH L IH JH
VILLAINS  V IH L IX N Z
VIOLATES  V AY AX L EY T S
VIOLENCE  V AY EL AX N S
VIOLENT  V AY L AX N T
VIOLENTLY  V AY L AX N T L IY
VIOLIN  V AY AX L IH N
VIRTUALLY  V ER CH UW AX L IY
VIRTUE  V ER CH UW
VIRTUES  V ER CH UW Z
VIRTUOUS  V ER CH UW IX S
VIRUS  V AY R IX S
VISAGE  V IH Z IH JH
VISCOSITY  V IH S K AA S IX T IY
